$ /bin/python /home/gerardo/Proyectos/palindromo/main.py

1 : Tiempo A:  4.240746974945068 seg     Tiempo B: 0.028652191162109375
2 : Tiempo A:  0.5069446563720703 seg    Tiempo B: 0.004831552505493164
3 : Tiempo A:  0.6496925354003906 seg    Tiempo B: 0.006289005279541016
4 : Tiempo A:  0.2993803024291992 seg    Tiempo B: 0.003818988800048828
5 : Tiempo A:  0.10878300666809082 seg   Tiempo B: 0.0017771720886230469
6 : Tiempo A:  1.1575572490692139 seg    Tiempo B: 0.00920248031616211
7 : Tiempo A:  0.008969545364379883 seg  Tiempo B: 0.0003781318664550781
8 : Tiempo A:  5.472710371017456 seg     Tiempo B: 0.03153634071350098
9 : Tiempo A:  0.04898953437805176 seg   Tiempo B: 0.0011878013610839844
10 : Tiempo A:  2.024728298187256 seg    Tiempo B: 0.015058279037475586
11 : Tiempo A:  3.5384228229522705 seg   Tiempo B: 0.023020267486572266
12 : Tiempo A:  0.32549428939819336 seg  Tiempo B: 0.0041043758392333984
13 : Tiempo A:  0.0007739067077636719 seg        Tiempo B: 7.104873657226562e-05
14 : Tiempo A:  1.7521445751190186 seg   Tiempo B: 0.014834403991699219
15 : Tiempo A:  4.3923704624176025 seg   Tiempo B: 0.02836894989013672
16 : Tiempo A:  3.5415778160095215 seg   Tiempo B: 0.03094625473022461
17 : Tiempo A:  0.23744511604309082 seg  Tiempo B: 0.002771139144897461
18 : Tiempo A:  0.520317554473877 seg    Tiempo B: 0.006796360015869141
19 : Tiempo A:  1.227226734161377 seg    Tiempo B: 0.011105537414550781
20 : Tiempo A:  0.3058347702026367 seg   Tiempo B: 0.0033452510833740234
21 : Tiempo A:  3.9853124618530273 seg   Tiempo B: 0.027083873748779297
22 : Tiempo A:  0.028975725173950195 seg         Tiempo B: 0.0008385181427001953
23 : Tiempo A:  0.001264810562133789 seg         Tiempo B: 0.0001068115234375
24 : Tiempo A:  0.16025710105895996 seg  Tiempo B: 0.0027670860290527344
25 : Tiempo A:  0.013289213180541992 seg         Tiempo B: 0.0005309581756591797
26 : Tiempo A:  0.9159140586853027 seg   Tiempo B: 0.008615732192993164
27 : Tiempo A:  0.0028579235076904297 seg        Tiempo B: 0.00020956993103027344
28 : Tiempo A:  0.24842333793640137 seg  Tiempo B: 0.003396749496459961
29 : Tiempo A:  4.351070165634155 seg    Tiempo B: 0.027380704879760742
30 : Tiempo A:  2.1624679565429688 seg   Tiempo B: 0.014681100845336914
31 : Tiempo A:  4.58905291557312 seg     Tiempo B: 0.02851414680480957
32 : Tiempo A:  1.766519546508789 seg    Tiempo B: 0.015020132064819336
33 : Tiempo A:  5.470566987991333 seg    Tiempo B: 0.030713319778442383
34 : Tiempo A:  0.04365086555480957 seg  Tiempo B: 0.0009799003601074219
35 : Tiempo A:  3.9021196365356445 seg   Tiempo B: 0.026129484176635742
36 : Tiempo A:  4.767256021499634 seg    Tiempo B: 0.030371665954589844
37 : Tiempo A:  0.3005380630493164 seg   Tiempo B: 0.0034055709838867188
38 : Tiempo A:  0.01194620132446289 seg  Tiempo B: 0.0004379749298095703
39 : Tiempo A:  0.10012245178222656 seg  Tiempo B: 0.0018320083618164062
40 : Tiempo A:  4.7141759395599365 seg   Tiempo B: 0.02891850471496582
41 : Tiempo A:  2.771043539047241 seg    Tiempo B: 0.01987934112548828
42 : Tiempo A:  1.5769579410552979 seg   Tiempo B: 0.012307167053222656
43 : Tiempo A:  3.6869735717773438 seg   Tiempo B: 0.0227508544921875
44 : Tiempo A:  4.077142953872681 seg    Tiempo B: 0.027970552444458008
45 : Tiempo A:  0.04300546646118164 seg  Tiempo B: 0.001024484634399414
46 : Tiempo A:  2.92492413520813 seg     Tiempo B: 0.017854690551757812
47 : Tiempo A:  0.02770686149597168 seg  Tiempo B: 0.00075531005859375
48 : Tiempo A:  0.00136566162109375 seg  Tiempo B: 0.00010848045349121094
49 : Tiempo A:  0.19115662574768066 seg  Tiempo B: 0.0030133724212646484
50 : Tiempo A:  0.024999141693115234 seg         Tiempo B: 0.0008685588836669922
51 : Tiempo A:  2.318737030029297 seg    Tiempo B: 0.018132925033569336
52 : Tiempo A:  0.24491310119628906 seg  Tiempo B: 0.002996206283569336
53 : Tiempo A:  0.0006356239318847656 seg        Tiempo B: 6.699562072753906e-05
54 : Tiempo A:  0.2786412239074707 seg   Tiempo B: 0.0034525394439697266
55 : Tiempo A:  5.781118154525757 seg    Tiempo B: 0.032727956771850586
56 : Tiempo A:  5.065889835357666 seg    Tiempo B: 0.03098297119140625
57 : Tiempo A:  2.4122772216796875 seg   Tiempo B: 0.01637434959411621
58 : Tiempo A:  0.21070480346679688 seg  Tiempo B: 0.0030062198638916016
59 : Tiempo A:  5.09600567817688 seg     Tiempo B: 0.02834486961364746
60 : Tiempo A:  1.131408452987671 seg    Tiempo B: 0.009623289108276367
61 : Tiempo A:  1.7341344356536865 seg   Tiempo B: 0.012803077697753906
62 : Tiempo A:  1.81890869140625 seg     Tiempo B: 0.014437675476074219
63 : Tiempo A:  0.30068516731262207 seg  Tiempo B: 0.00344085693359375
64 : Tiempo A:  0.0006403923034667969 seg        Tiempo B: 7.700920104980469e-05
65 : Tiempo A:  0.23427724838256836 seg  Tiempo B: 0.0029146671295166016
66 : Tiempo A:  1.5097792148590088 seg   Tiempo B: 0.012941598892211914
67 : Tiempo A:  0.173537015914917 seg    Tiempo B: 0.0023355484008789062
68 : Tiempo A:  0.0006737709045410156 seg        Tiempo B: 6.389617919921875e-05
69 : Tiempo A:  1.0510566234588623 seg   Tiempo B: 0.009966135025024414
70 : Tiempo A:  1.8529179096221924 seg   Tiempo B: 0.014206647872924805
71 : Tiempo A:  0.8930003643035889 seg   Tiempo B: 0.008975505828857422
72 : Tiempo A:  3.2840816974639893 seg   Tiempo B: 0.02054619789123535
73 : Tiempo A:  0.0034716129302978516 seg        Tiempo B: 0.0002079010009765625
74 : Tiempo A:  0.0948021411895752 seg   Tiempo B: 0.0016872882843017578
75 : Tiempo A:  0.24956035614013672 seg  Tiempo B: 0.0030078887939453125
76 : Tiempo A:  0.19029521942138672 seg  Tiempo B: 0.002518177032470703
77 : Tiempo A:  0.3652949333190918 seg   Tiempo B: 0.0038819313049316406
78 : Tiempo A:  0.040673255920410156 seg         Tiempo B: 0.0009238719940185547
79 : Tiempo A:  0.5764908790588379 seg   Tiempo B: 0.0065267086029052734
80 : Tiempo A:  2.8552169799804688 seg   Tiempo B: 0.017765045166015625
81 : Tiempo A:  1.4106626510620117 seg   Tiempo B: 0.011870861053466797
82 : Tiempo A:  1.364964246749878 seg    Tiempo B: 0.011639118194580078
83 : Tiempo A:  0.028061866760253906 seg         Tiempo B: 0.0007572174072265625
84 : Tiempo A:  5.131226062774658 seg    Tiempo B: 0.031023025512695312
85 : Tiempo A:  0.00875711441040039 seg  Tiempo B: 0.0004730224609375
86 : Tiempo A:  0.002002239227294922 seg         Tiempo B: 0.0001201629638671875
87 : Tiempo A:  4.683875560760498 seg    Tiempo B: 0.029496431350708008
88 : Tiempo A:  0.17904186248779297 seg  Tiempo B: 0.002231121063232422
89 : Tiempo A:  2.228626012802124 seg    Tiempo B: 0.018246889114379883
90 : Tiempo A:  1.2500169277191162 seg   Tiempo B: 0.012360334396362305
91 : Tiempo A:  1.8199279308319092 seg   Tiempo B: 0.013055086135864258
92 : Tiempo A:  1.057591199874878 seg    Tiempo B: 0.00896143913269043
93 : Tiempo A:  6.096666097640991 seg    Tiempo B: 0.03261566162109375
94 : Tiempo A:  1.864537239074707 seg    Tiempo B: 0.01274871826171875
95 : Tiempo A:  0.12183213233947754 seg  Tiempo B: 0.0018248558044433594
96 : Tiempo A:  0.07952880859375 seg     Tiempo B: 0.0017316341400146484
97 : Tiempo A:  1.1627497673034668 seg   Tiempo B: 0.01088857650756836
98 : Tiempo A:  0.12059974670410156 seg  Tiempo B: 0.001848459243774414
99 : Tiempo A:  4.318021059036255 seg    Tiempo B: 0.023258686065673828
100 : Tiempo A:  4.27333402633667 seg    Tiempo B: 0.026699304580688477
101 : Tiempo A:  0.6709585189819336 seg  Tiempo B: 0.005736112594604492
102 : Tiempo A:  1.7651338577270508 seg  Tiempo B: 0.013426542282104492
103 : Tiempo A:  0.05895638465881348 seg         Tiempo B: 0.0012617111206054688
104 : Tiempo A:  0.9100310802459717 seg  Tiempo B: 0.007780790328979492
105 : Tiempo A:  0.29003357887268066 seg         Tiempo B: 0.003737926483154297
106 : Tiempo A:  4.066940784454346 seg   Tiempo B: 0.024173974990844727
107 : Tiempo A:  0.0002510547637939453 seg       Tiempo B: 3.8623809814453125e-05
108 : Tiempo A:  0.03819632530212402 seg         Tiempo B: 0.001062154769897461
109 : Tiempo A:  0.022116422653198242 seg        Tiempo B: 0.0006124973297119141
110 : Tiempo A:  0.19350385665893555 seg         Tiempo B: 0.003133058547973633
111 : Tiempo A:  3.020965099334717 seg   Tiempo B: 0.019570350646972656
112 : Tiempo A:  1.3030822277069092 seg  Tiempo B: 0.01085972785949707
113 : Tiempo A:  2.5437254905700684 seg  Tiempo B: 0.017752647399902344
114 : Tiempo A:  0.08062195777893066 seg         Tiempo B: 0.0018923282623291016
115 : Tiempo A:  0.9652535915374756 seg  Tiempo B: 0.009351253509521484
116 : Tiempo A:  1.1774709224700928 seg  Tiempo B: 0.009305953979492188
117 : Tiempo A:  3.695487976074219e-05 seg       Tiempo B: 1.2636184692382812e-05
118 : Tiempo A:  0.1803574562072754 seg  Tiempo B: 0.003060579299926758
119 : Tiempo A:  3.2299516201019287 seg  Tiempo B: 0.021984577178955078
120 : Tiempo A:  0.02405095100402832 seg         Tiempo B: 0.0007338523864746094
121 : Tiempo A:  0.008231878280639648 seg        Tiempo B: 0.0003769397735595703
122 : Tiempo A:  2.7429025173187256 seg  Tiempo B: 0.018346309661865234
123 : Tiempo A:  2.960434913635254 seg   Tiempo B: 0.019652128219604492
124 : Tiempo A:  0.004561901092529297 seg        Tiempo B: 0.00021147727966308594
125 : Tiempo A:  1.299138069152832 seg   Tiempo B: 0.010846614837646484
126 : Tiempo A:  5.64640736579895 seg    Tiempo B: 0.03181624412536621
127 : Tiempo A:  5.543452262878418 seg   Tiempo B: 0.03513669967651367
128 : Tiempo A:  5.8856165409088135 seg  Tiempo B: 0.033423423767089844
129 : Tiempo A:  0.4123373031616211 seg  Tiempo B: 0.0045316219329833984
130 : Tiempo A:  5.539310693740845 seg   Tiempo B: 0.03248262405395508
131 : Tiempo A:  0.05770301818847656 seg         Tiempo B: 0.001220703125
132 : Tiempo A:  1.245422124862671 seg   Tiempo B: 0.010289669036865234
133 : Tiempo A:  0.3065192699432373 seg  Tiempo B: 0.003323793411254883
134 : Tiempo A:  1.7222983837127686 seg  Tiempo B: 0.012237787246704102
135 : Tiempo A:  5.61386775970459 seg    Tiempo B: 0.03421163558959961
136 : Tiempo A:  3.956843614578247 seg   Tiempo B: 0.02664327621459961
137 : Tiempo A:  0.0015480518341064453 seg       Tiempo B: 0.00012421607971191406
138 : Tiempo A:  1.7539548873901367 seg  Tiempo B: 0.014901399612426758
139 : Tiempo A:  0.004048824310302734 seg        Tiempo B: 0.00021600723266601562
140 : Tiempo A:  1.596510410308838 seg   Tiempo B: 0.012362003326416016
141 : Tiempo A:  0.391629695892334 seg   Tiempo B: 0.003914356231689453
142 : Tiempo A:  0.6276984214782715 seg  Tiempo B: 0.0056912899017333984
143 : Tiempo A:  1.9705848693847656 seg  Tiempo B: 0.015818119049072266
144 : Tiempo A:  0.004452228546142578 seg        Tiempo B: 0.00021910667419433594
145 : Tiempo A:  4.755342245101929 seg   Tiempo B: 0.02986741065979004
146 : Tiempo A:  0.185072660446167 seg   Tiempo B: 0.0025177001953125
147 : Tiempo A:  0.17990994453430176 seg         Tiempo B: 0.0027532577514648438
148 : Tiempo A:  0.4978029727935791 seg  Tiempo B: 0.005334377288818359
