Palabra,Largo de la Palabra,Tiempo A[s],Tiempo B[s],Tiempo A[ms],Tiempo B[ms]
acbbccccaccbabaabcaabbbcabbbbabbacbcabbabcabacabbbbbbacbbccccababcbabbaabccacbabbaacbccbaabccabbbbaabbbcbbacccbacbcccacbcbccbbbbabacccabbbbacaacbcbbabacbcabcaabacaababbbacabbacccaaabaccabbcabcaaabcbcacabbcaabccbbcbcaaaaaaabbccaaaccbabbbbabacaacbbbaaaacccacbbaaaccbacccccbcccabaacbbbbaaacccabaacacaaaccaabcccacaaaccacbcacaaacccbaabbbcaababaabcbccaabcacbaccbbcacabbaccaaaacbbbcbacacbbabbcbbaabbbcccacaabcbbaaaabcbcaccaacabacbbbbcbbaccbbaabcccaaabca,446,4.240747000,0.028652000,4240.747,28.652
caacbabccbbcccaacbabacbcacacaabbbcaabaaacabcababaabcaaacbbaccaabbaccbcbbbabbabaabcbcabaabcbaaccbaabcccccbbcabcabacccbccaababcaabbccaabacabacccbbccbbbbcaaacbbbaccbababacacbaacacbacaabcabbccabcacbabcbcbabbbbbaccbcccccbabcbcabacacc,228,0.506945000,0.004832000,506.945,4.832
cbabcbbbcccaaabacabcbcbbcbccbbbaaacabcbccaccabcbabaaaaabababacbbbbcbabbcabcbabbabcccbbbbbbcccbbccbbbcaabbbcbacccaaaabaacaabcccccbbcccaccbacabcaccaabbcacacbbcbcabbcabbaabcbbacbbbacbccbaaaccaaacabaacccbaabccaacacccbcccbbcaabbabacacbcacbcbcbabbbbcaacaa,249,0.649693000,0.006289000,649.693,6.289
cbcbacaaaaabcbbaccccbccbbbacaacbacaabbacacaabbaacbbbbbbabbcaacbaabcaababcbaabaabbcacccbcbaccabacbccacbbbbcabbcabcbaacbacabbcbabbabbbabbbabbaabcbabbbccaaabcacbbacbaacabcccabbcbaacabbcbcbbbcbb,190,0.299380000,0.003819000,299.380,3.819
abbbbcbcbbccababcccaaaacaaaababccaacabbcbabccaccccacbacabbbcacbaaaabbbbcccccaabbccabccbcabbcbcbaccacaacaaaaacbccbbcaccccbaaaabcbbaccbca,135,0.108783000,0.001777000,108.783,1.777
bccabaabcabbaacbccaabcaaacacbbbababbccbbacccaabacbabbbcbacabcabcbbccacbbcccacccabbcbaaabcbbcaccccabbcbcbaacbbcacabbaccbbbbaccbcccacaacaaacbbbaaccbbaaacacbaaaacbcbbaaaabcccbbcbcbcabcacbbbcbacbbabbbcbccbabaccababbbbcccabcbaacabbbcaaaaabcbbbccaaccbcbccacbcbbcccabaaabcbabbbbabaabbaaaabbcbbcbbbcaaccab,297,1.157557000,0.009202000,1157.557,9.202
aacabcacccbababccacbbbacabbabbabcccbaccabccbbabaaaaccbcabb,58,0.008970000,0.000378000,8.970,0.378
bacbcacabcbaccbbaacbbcaaccbbbcccbcaccabcbbbcbaacaaccaacabbcacbbccabacacacabacbcbbcabbcabacabbbcabcaacbaabbbcaaababccabcabbaabbbbaccbbbbbcbabaabbaacacbbaaabbbabbabababbacaabbabbccaabacacbcbcbcaacbccaabbcacaaaabccbbaccbbbbabacacabaacabcbbacbcbabcaacbaccbbbbabaabbcbbccbbbabacbbcabbaaacaaabcbabccbcbccbaababbcbcbccacacbccacbcaaccbababcaacaabaacabaacbbcbaaaccaacaabbccbcacababcabbccbacaacabbaacaabbccbabacbbccbcababacabacaaaabbcaabcbacababaacbcbbbcbccbbbabbcaabbbbacabaaaaababcbbcacbaacbbcaaab,489,5.472710000,0.031536000,5472.710,31.536
acabaacccbacbaacccccabbcabbbacbcabbbbacacabbbcbbbaccaaabacbcacababacabbbbccabcacaabccbbacbccbcabcccaa,101,0.048990000,0.001188000,48.990,1.188
acbccababaabcacacccbaccabacbcbcccccaaccccabacccbaccbcacacbcacbcbccbbcaabcacbcbbabacaccabbcaccccccbcaaaaaacbcaabbbacaaccaaccabbaccccacbcbcabaabacaaccacccbaacbabbbbcccaabcbacbbcaaaccbcbbcaccaaccccaabbacccbbbacacbcacbcbabcccabbbabbacccbcaababcaababcbbaaacaaababcccbbccbaabaccaabbaacbccbbaabbbaaccaaaaccccabbbcbbbabcacccbabaaccabaccbbaaaccaabcbbcbbabcbbabcbaabba,358,2.024728000,0.015058000,2024.728,15.058
ccbbcbaaccbbbababcbbbcababbbabcaacbcacbabcbaccbaacbaabaaabcbaaaabcccbbccabaabbccccaacccbcabbbcacacbbccaaacabaacaabccbbbcccbabcacbbacbabaaaccabcbaacabbcaaccbbaacbcbacbababbabacccabbccaababbabbbcbccbabacbaccccbabcbbacbccabcaaacbcaccbbaccbbbbcaaaaaaacbcbcbbbabbbbaccaaabacaaabcabbcacacbbcaccbccaccbabcababbaccacacccbaabbaacbabbbbcbabaabaabbacaccaaaaabccacbcbcabaccabccababacbbcacccaaaaacbbbcbbcaacbccbcbbbccabcaccbbbbaaccbaacbcacbb,428,3.538423000,0.023020000,3538.423,23.020
ccccbcbcbbcccbbbbcccabaaacabbbcbabbaacbabacaacbcccbccbbabcabacbaabccbbcbbcccbacbabcabbcbaaaabbacccaaaacbcbccbbcbbcbbccababacacccbaccabccacbbcaabcbabcacabaaaaccbbaabacaacccbccabacacccbaaabcababcbbcc,197,0.325494000,0.004104000,325.494,4.104
abccacaabacccaacaaabcaa,23,0.000774000,0.000071000,0.774,0.071
cbacccbccabbbbaabbcbbbbabaaaccaccccaaaabcbcabaaaccacabcbababbcaaacccbaccbacacbbabaaacaccbbbccacaccabaccbcbbaabbabccabbacacbbabbbcacacccbababcbbcbaabacaabbbaaabbbacbcacaaaccbcbbaabacbcacabbaabbbcbccbcbbababbaccabcaaabcacabcaaccabccacabbccbbccbcbbaccbaaabacbbcaaacacaccbcccbcbcccaccbbbcbaaabbbcbccabacbabbaaacabaaacabccccbabacaacababbbcaccbbcb,341,1.752145000,0.014834000,1752.145,14.834
bcabacacacccacbacbcbcabbcbaabaccaaccbcaccaccbcabacbbcaacabbacbbccbcbacabacabbcbababacbbcbcabbbacccaccccbbcbccaaccbbabbcababbabbbbcaacccaaaaabcacabccbccbabbcbaacccabcacbabaacbbcabababbbcccabcabbbbaacacbbaccaacabcacbaaaabbccaccbccbbbcccabbaabccabacaacccabbbabbabcaaacacbaacacbbcaaaabacaccbabcacabbabbaabbccaacacacbcbbcacbacacbaaccccbcccccbcbaabcbcbcacabaaabacbcbbbaabcbbaccbabbbcbcaaacbacbcaaabaaccccbaaabacccbbaccbbccacccaaaaabacbabaacbbccbcabbccacbcbbcbabc,456,4.392370000,0.028369000,4392.370,28.369
abaaacacbaccacacacaaacbabcbcacbacbbacbbbbcbbbaaaacacbbcaaaacabacccaacbbbaccbcabccbcccbcccacccbabaccaaaaaccbaabbcabccacaacaabcaccbcaaccbccacabcbcbbbbabccaababcaaababbcaabcbcaabbbcacabbbcabacacbacccbaababacbcabbbaabcaccacacaabcbbcbaccbbabbbbcbaaacbcaccabcbbbbaccbcabcbacaccbbbbaabbcccabbaabaccabbcbabacbcccccccabacccabcccbccbbbacccabcbcaccabbbbbcaaacccbaacabaaccbaabcbbbbacbcbccbcacaabaaabbcaacacbacacacccccbccbaccacbabacbcacacc,426,3.541578000,0.030946000,3541.578,30.946
abcbabaabcbcbaabaabbcccbabaccbaacaccbabaabbacbbabcbcaccaccbabbbbaacbbaaabcbcccaabccccbbcacbccabbaacacaccaccaacabbcbbabcbaaabaccaabaaccbbbcaaaaaaaabcacbacaaabbbabcaacbaabbbcb,173,0.237445000,0.002771000,237.445,2.771
ccaccccbabbaacabaaacbacbcccaccaacbaaabccababacbbbcbcbbcbcbcaccccbcbccbbcaaaccbbccccabbaabaccacaccbbabababbacbbcacccabbbbbacbbbabbacccbababbabccabbacabbacbcbbbbabbbcbbacacabbacabacaaacabababaaacbccbcbaccacacacbbcaaaabcacacac,223,0.520318000,0.006796000,520.318,6.796
bbcbbaaabaabcbccbaaccacccaccbbaabaacbbaacbacccbcabcbcbbcabbbbbaccbbbcacbaabbcaaaaacacacbbbbabacbabaaccaccbacabbcbbcaaaacaabaccbabbccbbcabacccabcacbbabbbaabacacbcbaaabbcbccbbbbbaccbcbbcbcbccbcacbbbbaacabccabcccccbbcabbbacacccccaaaabacacbbccbacbabcabcabaabbaaaacaacbcbccbacbaababcbcaababaacccababcbccbcbaac,304,1.227227000,0.011106000,1227.227,11.106
bacccabcaaaaccbacbaccbabaacaccbbbcbbcbbabbbbbaaaaaaaabbbacaaababcaaabccbccbbcbaacbbacabcbacabbbcbbbbbbccbcacacbbacaabaabbcbbaacccabcccccccaabbcbccbcbaabcabccacbcaaccaaccbcabaacaabaccccbbcaac,190,0.305835000,0.003345000,305.835,3.345
